ParticleType,Energy
2mu-,497.722
mu+,895.351
pi+,303.344
pi+,2452.01
3mu-,310.355
pi+,73.4263
2mu+,51.5317
3mu+,49.2109
mu-,318.961
2mu-,297.232
3mu-,228.126
pi+,451.938
3pi+,157.078
pi-,550.158
2pi-,470.369
3mu-,292.022
pi-,168.41
2mu-,120.146
mu+,219.564
2mu+,199.102
3mu+,197.667
pi+,1638.99
2pi+,1637.79
3pi+,1636.19
mu-,36.8173
pi-,895.739
pi+,793.016
2pi+,791.863
3pi+,709.438
pi+,766.721
2pi+,765.526
3pi+,684.519
mu-,221.839
2mu-,126.846
3mu-,113.436
pi+,161.89
pi-,1159.8
pi+,290.29
2mu+,187.625
3mu+,57.0953
pi-,351.206
2pi-,349.914
3mu-,180.047
pi-,482.517
2pi-,481.382
3pi-,394.876
pi+,157.622
2pi+,156.334
3pi+,155.057
3mu+,38.9162
pi-,121.107
2pi-,119.49
3pi-,117.764
pi+,272.18
2pi+,245.645
pi-,316.895
3pi+,347.21
pi-,672.464
mu-,239.329
2mu-,238.211
3mu-,188.517
pi+,760.555
pi-,63.7853
pi+,77.2834
pi+,630.806
mu-,132.013
pi-,732.514
2pi-,731.063
3pi-,729.624
pi+,124.792
2mu+,11.981
3mu+,5.873
pi+,1733.15
pi+,76.3565
2mu+,69.1531
3mu+,30.3902
pi+,424.072
pi+,499.475
2mu+,496.237
3mu+,448.036
pi-,598.704
pi+,610.17
2pi+,608.859
pi+,4032
2pi+,274.61
3pi+,566.657
pi+,1269
2mu+,1001.18
3mu+,899.435
mu-,51.4492
2mu-,49.5059
3mu-,46.8898
pi+,1052.65
2pi+,1051.49
3pi+,846.178
pi-,81.9656
2mu-,61.7336
3mu-,59.8916
pi+,180.444
pi-,127.74
2mu-,89.5523
3mu-,43.4959
pi+,442.727
pi+,159.706
pi+,224.479
2pi+,223.171
3pi+,131.474
pi-,3197.59
pi-,745.474
pi+,2155.41
pi-,331.065
pi-,387.635
2mu-,243.038
3mu-,206.049
pi-,233.537
mu+,456.916
2mu+,455.584
3mu+,387.46
3mu-,323.037
2pi+,2247.88
3pi+,2246.5
pi-,1330.47
mu-,785.549
2mu-,784.182
3mu-,716.134
pi+,391.289
pi-,1181.45
2pi-,1106.01
3mu+,195.573
pi+,529.923
pi-,173.147
2mu-,129.704
3mu-,127.971
mu+,554.583
2mu+,553.526
3mu+,533.326
pi-,864.326
2pi-,160.999
2mu+,1319.95
3mu+,1253.36
pi+,919.979
2mu+,858.141
3mu+,768.449
pi+,214.306
2pi+,175.854
3mu+,76.5628
mu-,144.284
pi-,801.92
pi+,265.943
2pi+,264.52
3pi-,442.848
pi+,36.7735
mu-,133.092
pi+,2818.18
2pi+,2816.52
3pi+,2815.39
pi+,266.979
2mu+,275.537
3mu+,270.349
pi-,1227.51
2pi-,1226.13
3pi-,1224.95
pi+,724.812
3mu+,224.582
pi+,1378.86
3mu-,113.99
pi-,473.921
2pi-,443.079
3mu-,376.959
pi+,403.266
2pi+,401.6
3pi+,353.227
pi+,360.071
pi+,735.139
2mu+,452.101
mu-,497.499
pi+,2686.66
2mu+,1674.98
3mu+,1673.74
pi+,1738.66
mu-,373.84
3mu-,156.564
pi-,225.431
pi+,1489.54
2pi+,1488.09
3pi-,194.31
pi-,1653.14
pi-,70.6813
pi+,97.149
2pi+,81.199
pi+,429.796
pi+,251.398
2pi+,249.823
3pi+,248.473
2pi-,88.9442
mu+,118.657
2mu+,115.122
3mu+,113.097
pi-,131.529
2mu-,145.13
3mu-,143.886
pi-,1633.35
2mu+,217.988
3mu+,134.69
2pi+,1077.4
pi+,778.584
pi+,372.518
2pi+,370.9
2pi+,113.186
pi+,3439.39
2pi+,3437.64
3pi+,3436.38
mu-,113.952
pi+,1402.18
3pi+,1985.6
