Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
1,pi-,4.37864,0.104592,-1.79875,-0.0275786,450.95,0.626538,511.375
2,mu-,17.2331,0.0750804,-0.90765,0.0383301,1097.45,0.421686,337.161
3,mu-,29.0688,0.0100832,21.3134,0.0785802,1769.95,0.35483,272.951
1,pi+,-3.0964,-0.0774738,-8.55774,-0.0291844,450.95,0.240398,150.473
2,mu+,-13.971,-0.0156856,4.03632,0.0528049,1097.45,0.187735,116.698
3,mu+,8.9352,0.0158869,10.2244,-0.0505261,1769.95,0.186674,115.285
1,pi-,-14.3888,-0.178608,-4.42281,-0.413203,450.95,1.83906,1758.92
1,pi+,18.7349,-0.067672,0.340431,-0.0642262,451.05,-0.0548358,37.04
1,pi+,0.00828233,0.21448,-1.55722,0.11505,450.95,1.65812,1542.11
1,mu+,8.12444,0.178735,17.7911,0.144364,450.95,0.703164,641.597
2,mu+,11.9902,-0.186838,-11.5674,-0.083229,1097.45,0.610473,546.78
1,pi-,-2.17378,-0.0642463,10.7534,0.036598,450.95,0.569556,451.48
1,pi+,-12.9225,-0.0981209,3.24063,0.0575095,450.95,0.525454,415.872
3,mu+,-34.253,-0.0370576,4.77502,-0.0139705,1769.95,0.173294,101.133
1,mu-,-8.51427,-0.104418,7.91436,-0.0155085,450.95,0.269168,202.171
2,mu-,1.90187,0.0113991,12.3582,0.102941,1097.45,0.268616,201.009
3,mu-,-3.0262,0.00538014,28.6363,0.0789172,1769.95,0.204993,138.149
1,pi-,-15.8097,-0.133362,-2.02354,-0.262556,450.95,0.946191,861.169
1,pi+,1.24487,0.0190222,-1.42102,0.00211271,450.95,0.734817,608.629
2,pi+,2.54913,-0.0111712,-3.98919,-0.0175152,1097.45,0.733515,607.394
3,pi+,-1.73681,0.0206702,2.52267,0.00220167,1769.95,0.732023,605.929
1,mu+,8.21507,0.019673,-4.87033,-0.0754094,450.95,0.318683,239.01
2,mu+,6.13139,-0.0389075,-20.9452,-0.0621964,1097.45,0.318401,237.744
3,mu+,-16.0426,0.0466901,-4.53697,0.0354405,1769.95,0.268426,188.709
1,pi+,-0.211051,0.192099,8.66535,0.205433,450.95,1.7834,1671.25
2,mu+,-13.4964,-0.0514248,-8.59939,0.177642,1097.45,1.08251,997.61
3,mu+,61.0375,0.132653,32.4238,-0.122271,1769.95,0.990555,906.72
1,mu+,-11.4914,0.00846862,9.08133,-0.00357455,451.05,-0.0120562,1.07775
3,mu+,24.1239,-0.10609,-27.7063,-0.0684775,1769.95,0.25931,201.506
1,pi+,1.98845,-0.223272,-18.8245,-0.157732,450.95,0.670632,597.965
1,pi-,0.145013,0.0460051,10.5776,0.113893,450.95,0.495181,389.365
2,pi-,18.7521,0.0625097,57.8335,0.194018,1097.5,0.0904463,123.508
2,pi-,16.733,-0.16944,59.3721,-0.000267596,1097.5,-0.0493434,85.4286
1,pi+,-15.6037,0.115324,13.0787,0.295591,450.95,0.82543,755.688
1,mu-,-9.69543,-0.0692017,3.1077,0.0649801,450.95,0.293829,220.701
2,mu-,-6.62652,0.0761208,-7.93242,0.0146096,1097.45,0.247558,174.443
3,mu-,-6.94439,0.0679072,-7.47743,-0.0338254,1769.95,0.24524,171.942
1,mu+,-9.25335,-0.00242295,10.0493,0.021323,450.95,0.0592519,17.3661
1,mu+,-7.19282,-0.104357,-4.12773,-0.0390587,450.95,0.551387,466.711
2,mu+,0.37921,-0.00311324,-9.92889,-0.111233,1097.45,0.548552,463.951
3,mu+,-4.22445,0.0658605,-2.77391,-0.0779388,1769.95,0.4969,412.497
1,pi-,5.74903,0.0148519,11.9316,0.0814613,450.95,0.295349,197.427
1,mu-,10.268,0.0221909,6.42037,0.0627786,450.95,0.151004,90.2995
1,pi-,13.2088,0.382116,-4.30894,0.117339,450.95,1.97303,1878.37
