Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
9200,-175.7183,145.4469,7860.0000,228.1047,0.00000000,0.00000000,3.70329428,3.70329428,e-,Solenoid_1_FieldVolume,1038
9205,38.2497,263.9792,12240.5000,266.7359,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,1038
9210,-91.6287,311.2184,16490.0000,324.4268,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,1038
9215,-409.0328,81.0308,7860.0000,416.9818,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,1078
9230,-30.5360,36.8918,1780.0000,47.8900,0.00000000,0.00000000,16.66482426,16.66482426,e+,Solenoid_1_FieldVolume,1127
9235,-48.8638,509.5677,6160.0000,511.9052,0.00000000,0.00000000,3.70329428,3.70329428,e+,Solenoid_1_FieldVolume,1127
9240,-52.0096,498.8510,10410.0000,501.5549,0.00000000,0.00000000,1.85164714,1.85164714,e+,Solenoid_1_FieldVolume,1127
9245,-101.7264,41.2771,3480.0000,109.7819,0.00000000,0.00000000,7.40658856,7.40658856,e-,Solenoid_1_FieldVolume,1126
9460,-94.8532,-164.5972,100.0000,189.9721,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,1251
9480,371.7427,205.9897,3915.5000,424.9992,0.00000000,0.00000000,11.10988284,11.10988284,neutron,Solenoid_1_FieldVolume,1129
9630,-162.9542,661.4098,3500.5000,681.1879,0.00000000,0.00000000,11.10988284,11.10988284,nu_e,Solenoid_1_FieldVolume,1358
9700,38.0989,-720.2430,7093.4225,721.2500,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,1344
10260,159.5279,-329.7005,6180.0000,366.2671,0.00000000,0.00000000,3.70329428,3.70329428,neutron,Solenoid_1_FieldVolume,1418
10355,160.4439,692.1474,8499.0157,710.5000,0.00000000,0.00000000,1.85164714,1.85164714,gamma,Solenoid_1_FieldVolume,1722
10375,-198.0076,-620.4615,5330.0000,651.2906,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,1721
10430,10.4905,-205.9346,7010.0000,206.2016,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,1702
10725,-47.7851,10.1683,1780.0000,48.8550,0.00000000,0.00000000,16.66482426,16.66482426,pi+,Solenoid_1_FieldVolume,4
10730,12.0259,125.9252,6160.0000,126.4982,0.00000000,0.00000000,3.70329428,3.70329428,pi+,Solenoid_1_FieldVolume,4
10735,-150.1940,-83.6963,10410.0000,171.9398,0.00000000,0.00000000,1.85164714,1.85164714,pi+,Solenoid_1_FieldVolume,4
10740,-293.2626,152.4121,13940.0000,330.5032,0.00000000,0.00000000,1.85164714,1.85164714,mu+,Solenoid_1_FieldVolume,1869
10745,-165.3885,54.3765,18190.0000,174.0981,0.00000000,0.00000000,1.85164714,1.85164714,mu+,Solenoid_1_FieldVolume,1869
10795,600.6569,496.6800,1780.0000,779.4099,0.00000000,0.00000000,16.66482426,16.66482426,nu_e,Solenoid_1_FieldVolume,1915
11325,-1.2681,-4.8949,2630.0000,5.0565,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,1
11330,-10.6682,-8.8948,7010.0000,13.8898,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
11335,-20.3061,-8.7449,10845.5000,22.1091,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
