X_mm,Y_mm,Z_mm,Bx_Tesla,By_Tesla,Bz_Tesla,Particle,Volume
142.5248,407.8472,930.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-28.3767,-8.8570,1780.0000,0.00000000,0.00000000,16.66482426,e-,Solenoid_1_FieldVolume
-281.0823,-260.7887,6160.0000,0.00000000,0.00000000,3.70329428,e-,Solenoid_1_FieldVolume
-284.9043,-262.7192,10410.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-623.4683,-219.3808,14790.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-506.7069,-663.6815,144.7082,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-658.6086,-383.6251,930.0000,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
0.0000,0.0000,80.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
-48.7728,49.6424,3915.5000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
-30.7886,145.8368,8710.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
17.3242,222.2330,13090.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
80.0877,283.0163,17340.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
637.2290,353.9939,2630.0000,0.00000000,0.00000000,11.10988284,anti_nu_e,Solenoid_1_FieldVolume
219.9579,-541.9297,7010.0000,0.00000000,0.00000000,3.70329428,anti_nu_e,Solenoid_1_FieldVolume
38.6776,1.0307,1780.0000,0.00000000,0.00000000,16.66482426,e+,Solenoid_1_FieldVolume
171.6241,193.2344,100.0000,0.00000000,0.00000000,24.07141282,anti_nu_mu,Solenoid_1_FieldVolume
-44.5598,-4.8240,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
-44.4177,-69.3515,3082.6461,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
-13.1033,-143.4540,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
-320.8695,-680.1079,4972.5601,0.00000000,0.00000000,9.25823570,proton,Solenoid_1_FieldVolume
326.1195,768.6814,45.9520,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-133.7057,88.3219,930.0000,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
-100.5309,38.1860,1675.9582,0.00000000,0.00000000,16.66482426,e-,Solenoid_1_FieldVolume
-79.6334,-10.9947,1898.3297,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
-80.9535,-23.9327,1854.3997,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
-80.9561,-23.9272,1847.2139,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
-25.9594,-87.7989,3480.0000,0.00000000,0.00000000,7.40658856,pi+,Solenoid_1_FieldVolume
152.7149,57.1398,3480.0000,0.00000000,0.00000000,7.40658856,proton,Solenoid_1_FieldVolume
4.2663,793.4885,1452.6401,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
50.2685,151.2674,3915.5000,0.00000000,0.00000000,11.10988284,pi-,Solenoid_1_FieldVolume
-753.2804,-360.2689,-134.1308,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
479.7419,683.4272,25.7463,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
71.7587,-25.1998,3915.5000,0.00000000,0.00000000,11.10988284,pi-,Solenoid_1_FieldVolume
203.2321,168.7962,8710.0000,0.00000000,0.00000000,1.85164714,pi-,Solenoid_1_FieldVolume
-127.7681,-825.1668,808.0980,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
38.5804,45.7544,3915.5000,0.00000000,0.00000000,11.10988284,e-,Solenoid_1_FieldVolume
-160.8302,160.1002,8710.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-359.0809,305.5880,13090.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-308.6684,312.2845,17239.5326,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
-385.8188,-9.4119,100.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-63.2966,-456.1106,1780.0000,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
-66.1226,-12.3009,1016.3794,0.00000000,0.00000000,16.66482426,e+,Solenoid_1_FieldVolume
